Name,X,Y,zone,initialK
kpkpx_ms30,1931516.722,1149426.934,19,73.06
kpkpx_ms31,1958516.722,1149426.934,19,4.719002
kpkpx_ms32,1985516.722,1149426.934,19,10.61769
kpkpx_ms33,2012516.722,1149426.934,19,7.561388
kpkpx_ms34,1742516.722,1122426.934,19,6.258111
kpkpx_ms35,1769516.722,1122426.934,19,3.228229
kpkpx_ms36,1796516.722,1122426.934,19,7.844439
kpkpx_ms37,1823516.722,1122426.934,19,2.797519
kpkpx_ms38,1850516.722,1122426.934,19,3.132515
kpkpx_ms39,1877516.722,1122426.934,19,7.440179
kpkpx_ms40,1904516.722,1122426.934,19,10.97682
kpkpx_ms41,1931516.722,1122426.934,19,7.162062
kpkpx_ms42,1958516.722,1122426.934,19,4.918073
kpkpx_ms43,1985516.722,1122426.934,19,16.05902
kpkpx_ms44,2012516.722,1122426.934,19,14.07703
kpkpx_ms45,1742516.722,1095426.934,19,6.047356
kpkpx_ms46,1769516.722,1095426.934,19,6.921629
kpkpx_ms47,1796516.722,1095426.934,19,73.06
kpkpx_ms48,1823516.722,1095426.934,19,0.5345395
kpkpx_ms49,1850516.722,1095426.934,19,0.32
kpkpx_ms50,1877516.722,1095426.934,19,63.25551
kpkpx_ms51,1904516.722,1095426.934,19,73.06
kpkpx_ms52,1931516.722,1095426.934,19,73.06
kpkpx_ms53,1958516.722,1095426.934,19,5.220477
kpkpx_ms54,1985516.722,1095426.934,19,16.03902
kpkpx_ms55,2012516.722,1095426.934,19,73.06
kpkpx_ms56,1742516.722,1068426.934,19,5.758701
kpkpx_ms57,1769516.722,1068426.934,19,9.280408
kpkpx_ms58,1796516.722,1068426.934,19,15.04639
kpkpx_ms59,1823516.722,1068426.934,19,11.93931
kpkpx_ms60,1850516.722,1068426.934,19,15.38564
kpkpx_ms61,1877516.722,1068426.934,19,9.95425
kpkpx_ms62,1904516.722,1068426.934,19,17.06286
kpkpx_ms63,1931516.722,1068426.934,19,61.3081
kpkpx_ms64,1958516.722,1068426.934,19,73.06
kpkpx_ms65,1985516.722,1068426.934,19,46.93291
kpkpx_ms66,2012516.722,1068426.934,19,13.63294
kpkpx_ms67,1742516.722,1041426.934,19,5.542125
kpkpx_ms68,1769516.722,1041426.934,19,9.431281
kpkpx_ms69,1796516.722,1041426.934,19,7.900215
kpkpx_ms70,1823516.722,1041426.934,19,6.226355
kpkpx_ms71,1850516.722,1041426.934,19,10.45351
kpkpx_ms72,1877516.722,1041426.934,19,13.16281
kpkpx_ms73,1904516.722,1041135.194,19,73.06
kpkpx_ms74,1931516.722,1041426.934,19,73.06
kpkpx_ms75,1958516.722,1041426.934,19,73.06
kpkpx_ms76,1985516.722,1041426.934,19,13.28327
kpkpx_ms77,2012516.722,1041426.934,19,6.602717
kpkpx_ms78,1742516.722,1014426.934,19,5.857594
kpkpx_ms79,1769516.722,1014426.934,19,8.691438
kpkpx_ms80,1796516.722,1014426.934,19,6.887726
kpkpx_ms81,1823516.722,1014426.934,19,8.877307
kpkpx_ms82,1850516.722,1014426.934,19,9.294268
kpkpx_ms83,1877516.722,1014426.934,19,73.06
kpkpx_ms84,1904516.722,1014426.934,19,31.69462
kpkpx_ms85,1931516.722,1014426.934,19,12.77121
kpkpx_ms86,1958516.722,1014426.934,19,5.620482
kpkpx_ms87,1985516.722,1014426.934,19,6.474466
kpkpx_ms88,2012516.722,1014426.934,19,10.09234
kpkpx_ms89,1742516.722,987426.934,19,5.83051
kpkpx_ms90,1769516.722,987426.934,19,5.827205
kpkpx_ms91,1796516.722,987426.934,19,6.766838
kpkpx_ms92,1823516.722,987426.934,19,4.91882
kpkpx_ms93,1850516.722,987426.934,19,18.65579
kpkpx_ms94,1877516.722,987426.934,19,16.86202
kpkpx_ms95,1904516.722,987426.934,19,16.45013
kpkpx_ms96,1931516.722,987426.934,19,5.851081
kpkpx_ms97,1958516.722,987426.934,19,11.00156
kpkpx_ms98,1985516.722,987426.934,19,8.498031
kpkpx_ms99,2012516.722,987426.934,19,7.452941
kpkpx_tc3,1985516.722,1203426.934,15,5.72076
kpkpx_tc4,2012516.722,1203426.934,15,3.541445
kpkpx_tc7,1958516.722,1176426.934,15,5.942886
kpkpx_tc8,1985516.722,1176426.934,15,2.298416
kpkpx_tc9,2012516.722,1176426.934,15,3.90526
kpkpx_tc10,1904808.462,1142425.164,15,2.511597
kpkpx_tc11,1936184.562,1156136.954,15,3.093313
kpkpx_tc12,1958808.462,1149426.934,15,2.730741
kpkpx_tc13,1985516.722,1149426.934,15,4.449415
kpkpx_tc14,2012516.722,1149426.934,15,5.119317
kpkpx_tc15,1904516.722,1122426.934,15,3.711197
kpkpx_tc16,1931516.722,1122426.934,15,2.812228
kpkpx_tc17,1958516.722,1122426.934,15,2.58363
kpkpx_tc18,1985516.722,1122426.934,15,4.787919
kpkpx_tc19,2012516.722,1122426.934,15,5.737146
kpkpx_tc20,1877516.722,1095718.674,15,1.22828
kpkpx_tc21,1904808.462,1092509.534,15,2.04378
kpkpx_tc22,1931516.722,1095426.934,15,2.020669
kpkpx_tc23,1958516.722,1095426.934,15,2.611795
kpkpx_tc24,1985516.722,1095426.934,15,4.605318
kpkpx_tc25,2012516.722,1095426.934,15,4.186175
kpkpx_tc27,1877516.722,1068426.934,15,1.06997
kpkpx_tc28,1904516.722,1068426.934,15,3.518603
kpkpx_tc29,1931516.722,1068426.934,15,2.802091
kpkpx_tc30,1958516.722,1068135.194,15,2.34108
kpkpx_tc31,1985516.722,1068426.934,15,6.44118
kpkpx_tc32,2012557.152,1068426.934,15,3.352459
kpkpx_tc33,1816223.222,1036759.094,15,2.263311
kpkpx_tc34,1850516.722,1041426.934,15,2.134433
kpkpx_tc35,1877516.722,1041426.934,15,0.8336871
kpkpx_tc36,1904516.722,1041426.934,15,1.433078
kpkpx_tc37,1931516.722,1041426.934,15,3.335963
kpkpx_tc38,1958516.722,1041426.934,15,3.788372
kpkpx_tc39,1985516.722,1041426.934,15,4.378338
kpkpx_tc40,2012516.722,1041426.934,15,2.073254
kpkpx_tc41,1775935.002,1004216.034,15,2.585237
kpkpx_tc42,1797391.942,1018511.294,15,2.373244
kpkpx_tc43,1823516.722,1014426.934,15,2.480823
kpkpx_tc44,1850516.722,1014426.934,15,2.194127
