Name,X,Y,Type,Error
5089322401_f,557248.1429999999,323947.7575,head,25.0
3160893210_f,557562.9508,323980.3485,head,25.0
7089354701_f,552680.594,323985.7941,head,25.0
8089203101_f,573289.1115,324147.8594,head,25.0
8089323101_f,557090.1421,324039.4296,head,25.0
9089203101_f,573288.8682,324178.7086,head,25.0
1089104601_f,586449.9213,324357.1649,head,25.0
1089195401_f,574120.813,324247.0263,head,25.0
4088574001_f,604132.5771,324647.1117,head,25.0
6089195601_f,574074.587,324400.9054,head,25.0
6089315001_f,558011.1856,324291.346,head,25.0
6089315701_f,557853.7079,324290.4616,head,25.0
8089192701_f,574726.5225,324467.8584,head,25.0
9089350401_f,553646.187,324360.7221,head,25.0
2089234301_f,568966.2443,324547.0173,head,25.0
4088515701_f,611845.2608,325056.3318,head,25.0
5088564001_f,605478.1711,325003.4289,head,25.0
5089231801_f,569527.9959,324643.6669,head,25.0
7089274201_f,563588.4319,324664.3983,head,25.0
8089223801_f,570427.1775,324742.8733,head,25.0
9088485901_f,615847.5731,325266.3262,head,25.0
1088504901_f,613372.0846,325293.2884,head,25.0
3088532401_f,609884.3095,325307.5796,head,25.0
3088533101_f,609726.8346,325305.4854,head,25.0
5089020701_f,598118.063,325222.6543,head,25.0
7088572901_f,604371.183,325359.7197,head,25.0
3520893440_f,554182.5349,325072.9321,head,25.0
3089023001_f,597597.8134,325463.4684,head,25.0
4089323101_f,557084.0434,325149.9555,head,25.0
5089344301_f,554114.5781,325165.1384,head,25.0
9089160001_f,579375.1102,325463.5068,head,25.0
0089430001_f,542934.2249,325272.11,head,25.0
3089320601_f,557644.8613,325430.69899999996,head,25.0
4089313501_f,558341.9926,325465.4739,head,25.0
6088591601_f,601957.014,325916.1338,head,25.0
4090892223_f,570757.4338,325701.687,head,25.0
1089240401_f,568485.1601,325746.6804,head,25.0
1089240402_f,568485.1601,325746.6804,head,25.0
1089323001_f,557103.6499,325674.4891,head,25.0
3089313401_f,558362.9103,325743.2314,head,25.0
4089323301_f,557035.6669,325766.6619,head,25.0
7089172601_f,577435.8619,326002.0321,head,25.0
9089163701_f,578537.4652,326073.1948,head,25.0
9089210001_f,572621.9796,326024.4728,head,25.0
0089270801_f,564344.5958,325995.8384,head,25.0
0089310301_f,559058.9357,325963.1673,head,25.0
2089214601_f,571586.6182,326109.0266,head,25.0
5089164301_f,578400.9097,326257.1186,head,25.0
7088505901_f,613127.5311,326709.215,head,25.0
7088511701_f,612722.6803,326703.6305,head,25.0
7088584501_f,602646.3926,326572.4697,head,25.0
7089262101_f,565400.2776,326218.803,head,25.0
1089432401_f,542391.1912,326226.5833,head,25.0
2089214201_f,571674.2305,326418.1955,head,25.0
3089235201_f,568750.1773,326427.2817,head,25.0
5089432001_f,542480.7419,326350.2769,head,25.0
6089201101_f,573719.9256,326557.5738,head,25.0
6089432601_f,542345.6958,326380.67699999997,head,25.0
8089230201_f,569873.5863,326589.7422,head,25.0
0088481501_f,616810.4239,327162.245,head,25.0
1088534001_f,609500.6334,327092.0094,head,25.0
2089215301_f,571424.4804,326724.7828,head,25.0
4089105901_f,586132.3508,326914.6959,head,25.0
4089432601_f,542344.8797,326627.4587,head,25.0
4450885529_f,607047.6036,327183.2757,head,25.0
6088564301_f,605382.9636,327192.8197,head,25.0
7089315101_f,557974.6312,326789.8979,head,25.0
7089315601_f,557862.1853,326789.2661,head,25.0
9089214401_f,571625.2346,326942.2666,head,25.0
1088513301_f,612352.6764,327439.0529,head,25.0
1089032201_f,596407.7992,327239.3165,head,25.0
5089181901_f,576233.9896,327164.2206,head,25.0
6088475801_f,617181.2089,327969.8215,head,25.0
6089300601_f,560332.5087,327389.7157,head,25.0
7089143601_f,581245.6002,327578.0804,head,25.0
1089265001_f,564739.0268,327571.76,head,25.0
2089143701_f,581221.712,327732.1167,head,25.0
6089002201_f,600446.664,328057.63399999996,head,25.0
7089054401_f,593205.6236,328005.9285,head,25.0
1088510701_f,612924.6452,328372.5572,head,25.0
4088534801_f,609303.1435,328416.1153,head,25.0
4089121501_f,584411.3313,328132.0729,head,25.0
5088535201_f,609168.2286,328414.3241,head,25.0
6088533901_f,609504.7015,328480.4998,head,25.0
7089110901_f,585894.4926,328238.9705,head,25.0
7089222801_f,570626.9083,328106.99600000004,head,25.0
8088545101_f,607884.9249,328520.8673,head,25.0
9088533301_f,609638.3856,328574.841,head,25.0
9088561901_f,605905.819,328526.1741,head,25.0
0089090201_f,588749.208,328360.0548,head,25.0
2089434001_f,542025.1867,328107.1358,head,25.0
4089015801_f,598281.4984,328587.4778,head,25.0
6089300401_f,560371.9407,328315.4239,head,25.0
7089085501_f,588904.3924,328577.6014,head,25.0
8089220001_f,571253.918,328451.0832,head,25.0
8089234501_f,568893.077,328433.5463,head,25.0
